Time (since start of data) [hrs],Electrical Load [kW],Net Load [kW],Missed Load [kW],Missed Firm Dispatch Requirement [kW],Missed Spinning Reserve Requirement [kW],1000 kW SOLAR Dispatch [kW],2000 kW WIND Dispatch [kW],500 kW 1000 kWh LIION Discharge [kW],150 kW 18181.8 kWh H2_SYS Discharge [kW],250 kW DIESEL Dispatch [kW],150 kW DIESEL Dispatch [kW],150 kW DIESEL Dispatch [kW],
0,360.254,122.305,0,0,0,0,177.949,122.305,0,0,60,0,
1,355.171,262.868,0,0,0,0,32.3032,192.695,70.1729,0,60,0,
2,353.776,315.582,0,0,0,0,38.1943,0,150,165.582,0,0,
3,353.754,220.775,0,0,0,0,132.979,0,150,0,70.7746,0,
4,346.593,260.49,0,0,0,0,86.1026,0,150,0,110.49,0,
5,340.132,282.35,0,0,0,0,57.7829,0,150,132.35,0,0,
6,337.355,40.5484,0,0,0,0.0681362,236.738,0,40.5484,0,60,0,
7,340.644,-438.658,0,0,0,0.278673,340.365,0,0,0,0,0,
8,363.639,-1286.35,0,0,0,1.71035,265.565,36.3639,0,0,60,0,
9,378.788,-1499.32,0,0,0,3.27989,277.629,37.8788,0,0,60,0,
10,372.216,-1628.58,0,0,0,0.797708,274.197,37.2216,0,0,60,0,
11,395.094,-1612.53,0,0,0,7.62762,287.957,39.5094,0,0,60,0,
12,402.325,-1383.69,0,0,0,18.3424,243.75,40.2325,0,100,0,0,
13,386.908,-1623.98,0,0,0,10.8857,237.331,38.6908,0,100,0,0,
14,380.709,-1621.32,0,0,0,2.02811,240.61,38.0709,0,100,0,0,
15,372.062,-1403.73,0,0,0,4.16552,210.69,37.2062,0,0,60,60,
16,372.329,-1364.28,0,0,0,4.50213,170.594,37.2329,0,100,60,0,
17,391.841,-787.265,0,0,0,0.560949,192.096,39.1841,0,100,60,0,
18,394.029,-1106.17,0,0,0,0.136959,152.413,21.4796,0,100,60,60,
19,383.369,-495.106,0,0,0,0,225.032,0,38.3369,0,60,60,
20,381.093,215.761,0,0,0,0,105.332,215.761,0,0,60,0,
21,382.604,250.196,0,0,0,0,72.4078,189.239,60.9576,0,60,0,
22,390.745,301.096,0,0,0,0,89.6491,0,150,151.096,0,0,
23,383.139,352.173,0,0,0,0,30.9662,0,150,126.358,75.815,0,
24,368.15,368.15,0,0,0,0,0,0,150,136.344,81.8064,0,
25,364.63,364.63,0,0,0,0,0,0,150,134.144,80.4862,0,
26,363.573,334.038,0,0,0,0,29.5348,0,150,0,92.019,92.019,
27,359.855,308.991,0,0,0,0,50.8638,0,150,158.991,0,0,
28,355.208,297.699,0,0,0,0,57.5082,0,150,147.699,0,0,
29,349.095,209.915,0,0,0,0,139.095,0,150,0,60,0,
30,354.366,-173.959,0,0,0,0,354.366,0,0,0,0,0,
31,343.381,-826.18,0,0,0,0.112844,343.268,0,0,0,0,0,
32,404.673,-986.746,0,0,0,0.6762,303.53,40.4673,0,0,60,0,
33,486.297,-1533.62,0,0,0,19.9149,357.752,48.6297,0,0,60,0,
34,480.226,-1592.77,0,0,0,72.9964,299.207,48.0226,0,0,60,0,
35,457.319,-1400.75,0,0,0,126.978,224.609,45.7319,0,0,60,0,
36,418.177,-1704.11,0,0,0,122.288,194.072,41.8177,0,0,60,0,
37,414.399,-1705.54,0,0,0,119.938,193.021,41.4399,0,0,60,0,
38,409.678,-1694.72,0,0,0,104.4,164.311,40.9678,0,100,0,0,
39,404.769,-1619.88,0,0,0,24.65,239.642,40.4769,0,100,0,0,
40,401.7,-1599.28,0,0,0,0.975143,260.554,40.17,0,100,0,0,
41,402.443,-1012.04,0,0,0,0.164874,242.034,40.2443,0,0,60,60,
42,398.138,-370.128,0,0,0,0,198.325,39.8138,0,100,60,0,
43,396.01,-505.473,0,0,0,0,196.409,39.601,0,100,60,0,
44,390.165,-139.136,0,0,0,0,193.529,36.6356,0,100,60,0,
45,375.85,323.88,0,0,0,0,51.9706,0,150,0,86.9399,86.9399,
46,365.567,342.293,0,0,0,0,23.2743,0,150,0,96.1464,96.1464,
47,365.43,336.773,0,0,0,0,28.6564,0,150,0,93.3866,93.3866,
48,353.468,353.468,0,0,0,0,0,0,150,0,101.734,101.734,
49,345.036,345.036,0,0,0,0,0,0,150,0,97.5181,97.5181,
50,332.161,303.894,0,0,0,0,28.2669,0,150,153.894,0,0,
51,328.217,298.821,0,0,0,0,29.3956,0,150,148.821,0,0,
52,336.961,269.823,0,0,0,0,67.1375,0,150,119.823,0,0,
53,350.501,114.019,0,0,0,0,176.482,0,114.019,0,60,0,
54,357.994,160.009,0,0,0,0,147.994,0,150,0,60,0,
55,378.666,-198.034,0,0,0,0,240.8,0,37.8666,100,0,0,
56,413.059,-548.907,0,0,0,2.39228,309.361,41.3059,0,0,60,0,
57,447.104,-129.666,0,0,0,42.409,299.984,44.7104,0,0,60,0,
58,450.237,-17.2651,0,0,0,126.958,218.256,45.0237,0,0,60,0,
59,422.27,84.5187,0,0,0,198.418,79.3326,84.5187,0,0,60,0,
60,432.571,-104.462,0,0,0,225.156,44.1582,43.2571,0,0,60,60,
61,416.72,-530.34,0,0,0,193.963,21.0858,41.672,0,100,60,0,
