Time (since start of data) [hrs],Production [kW],Dispatch [kW],Storage [kW],Curtailment [kW],Is Running (N = 0 / Y = 1),Fuel Consumption [L],Fuel Cost (actual),Carbon Dioxide (CO2) Emissions [kg],Carbon Monoxide (CO) Emissions [kg],Nitrogen Oxides (NOx) Emissions [kg],Sulfur Oxides (SOx) Emissions [kg],Methane (CH4) Emissions [kg],Particulate Matter (PM) Emissions [kg],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,165.582,165.582,0,0,1,45.286,76.9862,122.272,0.806091,0.0634004,0.190201,0.0317002,0.0045286,0,11.0232,
3,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
4,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
5,132.35,132.35,0,0,1,37.2388,63.306,100.545,0.662851,0.0521344,0.156403,0.0260672,0.00372388,0,8.81081,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
8,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
9,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
10,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
13,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
14,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
15,0,0,0,0,1,5.19076,8.8243,14.0151,0.0923956,0.00726707,0.0218012,0.00363353,0.000519076,0,0.166431,
16,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
17,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
18,100,100,0,0,1,29.4055,49.9893,79.3948,0.523417,0.0411677,0.123503,0.0205838,0.00294055,0,6.65723,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,151.096,151.096,0,0,1,41.7782,71.0229,112.801,0.743652,0.0584894,0.175468,0.0292447,0.00417782,0,10.0588,
23,126.358,126.358,0,0,1,35.7881,60.8397,96.6278,0.637028,0.0501033,0.15031,0.0250516,0.00357881,0,8.41196,
24,136.344,136.344,0,0,1,38.2061,64.9503,103.156,0.680068,0.0534885,0.160465,0.0267442,0.00382061,0,9.07673,
25,134.144,134.144,0,0,1,37.6732,64.0445,101.718,0.670584,0.0527425,0.158228,0.0263713,0.00376732,0,8.93024,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
