Time (since start of data) [hrs],Solar Resource [kW/m2],Production [kW],Dispatch [kW],Storage [kW],Curtailment [kW],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,0,0,0,0,0,3.35481e+06,0,
1,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,
6,8.51703e-05,0.0681362,0.0681362,0,0,0,0.000681362,
7,0.000348342,0.278673,0.278673,0,0,0,0.00278673,
8,0.00213794,1.71035,1.71035,0,0,0,0.0171035,
9,0.00409986,3.27989,3.27989,0,0,0,0.0327989,
10,0.000997135,0.797708,0.797708,0,0,0,0.00797708,
11,0.00953453,7.62762,7.62762,0,0,0,0.0762762,
12,0.022928,18.3424,18.3424,0,0,0,0.183424,
13,0.0136072,10.8857,10.8857,0,0,0,0.108857,
14,0.00253513,2.02811,2.02811,0,0,0,0.0202811,
15,0.0052069,4.16552,4.16552,0,0,0,0.0416552,
16,0.00562766,4.50213,4.50213,0,0,0,0.0450213,
17,0.000701187,0.560949,0.560949,0,0,0,0.00560949,
18,0.000171198,0.136959,0.136959,0,0,0,0.00136959,
19,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,
31,0.000141055,0.112844,0.112844,0,0,0,0.00112844,
32,0.00084525,0.6762,0.6762,0,0,0,0.006762,
33,0.0248936,19.9149,19.9149,0,0,0,0.199149,
34,0.0912456,72.9964,72.9964,0,0,0,0.729964,
35,0.158722,126.978,126.978,0,0,0,1.26978,
36,0.15286,122.288,122.288,0,0,0,1.22288,
37,0.149923,119.938,119.938,0,0,0,1.19938,
38,0.1305,104.4,104.4,0,0,0,1.044,
39,0.0308125,24.65,24.65,0,0,0,0.2465,
40,0.00121893,0.975143,0.975143,0,0,0,0.00975143,
41,0.000206093,0.164874,0.164874,0,0,0,0.00164874,
42,0,0,0,0,0,0,0,
43,0,0,0,0,0,0,0,
44,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,
48,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,
51,0,0,0,0,0,0,0,
52,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,
54,0,0,0,0,0,0,0,
55,0,0,0,0,0,0,0,
56,0.00299035,2.39228,2.39228,0,0,0,0.0239228,
57,0.0530113,42.409,42.409,0,0,0,0.42409,
58,0.158697,126.958,126.958,0,0,0,1.26958,
59,0.248023,198.418,198.418,0,0,0,1.98418,
60,0.281445,225.156,225.156,0,0,0,2.25156,
61,0.242453,193.963,193.963,0,0,0,1.93963,
62,0.148055,118.444,118.444,0,0,0,1.18444,
63,0.0513429,41.0743,41.0743,0,0,0,0.410743,
64,0.00435914,3.48732,3.48732,5.32907e-15,0,0,0.0348732,
65,0,0,0,0,0,0,0,
66,0,0,0,0,0,0,0,
67,0,0,0,0,0,0,0,
68,0,0,0,0,0,0,0,
69,0,0,0,0,0,0,0,
70,0,0,0,0,0,0,0,
71,0,0,0,0,0,0,0,
72,0,0,0,0,0,0,0,
73,0,0,0,0,0,0,0,
74,0,0,0,0,0,0,0,
75,0,0,0,0,0,0,0,
76,0,0,0,0,0,0,0,
77,0,0,0,0,0,0,0,
78,3.80564e-05,0.0304451,0.0304451,0,0,0,0.000304451,
79,0.000267708,0.214166,0.214166,0,0,0,0.00214166,
80,0.00213987,1.71189,1.71189,0,0,0,0.0171189,
81,0.0107142,8.57133,8.57133,0,0,0,0.0857133,
82,0.00837928,6.70342,6.70342,0,0,0,0.0670342,
83,0.00555741,4.44592,4.44592,0,0,0,0.0444592,
84,0.0295199,23.6159,23.6159,0,0,0,0.236159,
85,0.0249934,19.9947,19.9947,0,0,0,0.199947,
86,0.00164614,1.31691,1.31691,0,0,0,0.0131691,
87,0.00920601,7.36481,7.36481,0,0,0,0.0736481,
88,0.00609337,4.87469,4.87469,0,0,0,0.0487469,
89,0.000681228,0.544982,0.544982,0,0,0,0.00544982,
90,0.000182541,0.146033,0.146033,0,0,0,0.00146033,
91,0,0,0,0,0,0,0,
92,0,0,0,0,0,0,0,
93,0,0,0,0,0,0,0,
94,0,0,0,0,0,0,0,
95,0,0,0,0,0,0,0,
96,0,0,0,0,0,0,0,
97,0,0,0,0,0,0,0,
98,0,0,0,0,0,0,0,
99,0,0,0,0,0,0,0,
100,0,0,0,0,0,0,0,
101,0,0,0,0,0,0,0,
102,0,0,0,0,0,0,0,
103,0,0,0,0,0,0,0,
104,0.000569173,0.455338,0.455338,0,0,0,0.00455338,
105,0.0104347,8.34775,8.34775,0,0,0,0.0834775,
106,0.0185568,14.8454,14.8454,0,0,0,0.148454,
107,0.0308653,24.6923,24.6923,0,0,0,0.246923,
108,0.0248094,19.8475,19.8475,0,0,0,0.198475,
109,0.0092732,7.41856,7.41856,0,0,0,0.0741856,
110,0.0222027,17.7622,17.7622,0,0,0,0.177622,
111,0.0160319,12.8255,12.8255,0,0,0,0.128255,
112,0.00798046,6.38437,6.38437,0,0,0,0.0638437,
113,0.000870976,0.696781,0.696781,0,0,0,0.00696781,
114,0.000233386,0.186709,0.186709,0,0,0,0.00186709,
115,0,0,0,0,0,0,0,
116,0,0,0,0,0,0,0,
117,0,0,0,0,0,0,0,
118,0,0,0,0,0,0,0,
119,0,0,0,0,0,0,0,
120,0,0,0,0,0,0,0,
121,0,0,0,0,0,0,0,
122,0,0,0,0,0,0,0,
123,0,0,0,0,0,0,0,
124,0,0,0,0,0,0,0,
125,8.83215e-05,0.0706572,0.0706572,0,0,0,0.000706572,
126,0.000358825,0.28706,0.28706,0,0,0,0.0028706,
127,0.00133907,1.07126,1.07126,0,0,0,0.0107126,
128,0.0115492,9.23936,9.23936,0,0,0,0.0923936,
129,0.0722773,57.8218,57.8218,0,0,0,0.578218,
130,0.136683,109.347,109.347,0,0,0,1.09347,
131,0.162953,130.362,130.362,0,0,0,1.30362,
132,0.207522,166.018,155.8,10.2178,0,0,1.66018,
133,0.212158,169.726,169.726,0,0,0,1.69726,
134,0.150849,120.679,120.679,0,0,0,1.20679,
135,0.0763847,61.1077,61.1077,0,0,0,0.611077,
