Time (since start of data) [hrs],Wind Resource [m/s],Production [kW],Dispatch [kW],Storage [kW],Curtailment [kW],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,6.88567,237.949,177.949,60,0,7.91865e+06,7.24955,
1,5.02177,92.3032,32.3032,0,60,0,2.81218,
2,3.74212,38.1943,38.1943,0,0,0,1.16366,
3,5.6717,132.979,132.979,0,0,0,4.05146,
4,4.90671,86.1026,86.1026,0,0,0,2.62327,
5,4.29587,57.7829,57.7829,1.42109e-14,0,0,1.76046,
6,7.41155,296.738,236.738,60,0,0,9.04067,
7,10.2243,779.023,340.365,438.658,0,0,23.7343,
8,13.1259,1648.28,265.565,312.5,1070.21,0,50.2177,
9,13.7016,1874.83,277.629,312.499,1284.7,0,57.1201,
10,16.2481,2000,274.197,312.499,1413.3,0,60.9336,
11,16.5097,2000,287.957,312.499,1399.54,0,60.9336,
12,13.4354,1767.67,243.75,312.499,1211.43,0,53.8554,
13,14.0129,2000,237.331,312.499,1450.17,0,60.9336,
14,14.5555,2000,240.61,312.499,1446.89,0,60.9336,
15,13.4455,1771.63,210.69,312.498,1248.44,0,53.9758,
16,13.3447,1732.1,170.594,312.498,1249.01,0,52.7717,
17,11.7373,1178.55,192.096,312.498,673.951,0,35.9065,
18,12.72,1500.06,152.413,312.498,1035.15,0,45.702,
19,10.6421,878.475,225.032,500,153.443,0,26.7643,
20,6.09869,165.332,105.332,60,0,0,5.03714,
21,5.66356,132.408,72.4078,0,60,0,4.03404,
22,4.97317,89.6491,89.6491,0,0,0,2.73132,
23,3.48937,30.9662,30.9662,0,0,0,0.94344,
24,2.15917,0,0,0,0,0,0,
25,1.29061,0,0,0,0,0,0,
26,3.43476,29.5348,29.5348,0,0,0,0.899831,
27,4.11706,50.8638,50.8638,0,0,0,1.54966,
28,4.28905,57.5082,57.5082,0,0,0,1.75209,
29,5.7585,139.179,139.095,0.0846279,0,0,4.24035,
30,8.98294,528.325,354.366,173.959,0,0,16.0964,
31,11.707,1169.45,343.268,812.498,13.6823,0,35.6293,
32,12.4032,1390.74,303.53,312.497,774.717,0,42.3715,
33,15.4097,2000,357.752,312.497,1329.75,0,60.9336,
34,16.6211,2000,299.207,312.497,1388.3,0,60.9336,
35,13.3421,1731.09,224.609,312.497,1193.99,0,52.7409,
36,15.2113,2000,194.072,312.497,1493.43,0,60.9336,
37,18.3509,2000,193.021,312.497,1494.48,0,60.9336,
38,15.8752,2000,164.311,312.496,1523.19,0,60.9336,
39,15.3921,2000,239.642,312.496,1447.86,0,60.9336,
40,15.9729,2000,260.554,312.496,1426.95,0,60.9336,
41,12.4729,1414.32,242.034,312.496,859.79,0,43.0898,
42,10.1771,768.266,198.325,312.496,257.446,0,23.4066,
43,10.7342,901.484,196.409,312.496,392.579,0,27.4653,
44,8.98847,529.301,193.529,312.496,23.2759,0,16.1261,
45,4.14671,51.9706,51.9706,7.10543e-15,0,0,1.58338,
46,3.17256,23.2743,23.2743,3.55271e-15,0,0,0.709095,
47,3.40036,28.6564,28.6564,7.10543e-15,0,0,0.87307,
48,1.07864,0,0,0,0,0,0,
49,1.18481,0,0,0,0,0,0,
50,3.38489,28.2669,28.2669,3.55271e-15,0,0,0.861203,
51,3.42935,29.3956,29.3956,0,0,0,0.89559,
52,4.5162,67.1375,67.1375,0,0,0,2.04546,
53,6.87149,236.482,176.482,60,0,0,7.20486,
54,6.47633,197.986,147.994,49.9912,0,0,6.03199,
55,9.24914,576.7,240.8,335.901,0,0,17.5702,
56,10.96,959.574,309.361,312.496,337.718,0,29.2352,
57,9.01701,534.36,299.984,234.376,0,0,16.2803,
58,7.75966,340.544,218.256,122.289,0,0,10.3753,
59,5.76062,139.333,79.3326,60,0,0,4.24502,
60,7.53551,311.878,44.1582,267.719,0,0,9.50191,
61,10.1096,753.098,21.0858,312.495,419.517,0,22.9445,
62,8.52633,451.785,61.543,312.495,77.7478,0,13.7645,
63,5.16754,100.577,100.577,0,0,0,3.06426,
64,2.6496,0,0,0,0,0,0,
65,3.4865,30.8897,30.8897,1.42109e-14,0,0,0.94111,
66,4.25405,56.1116,56.1116,0,0,0,1.70954,
67,3.18631,23.5781,23.5781,1.06581e-14,0,0,0.718348,
68,6.78778,227.944,207.174,20.7699,0,0,6.94473,
69,9.66575,658.192,234.494,423.699,0,0,20.053,
70,8.25556,410.096,277.614,132.482,0,0,12.4943,
71,7.72245,335.669,262.98,72.6894,0,0,10.2268,
