Time (since start of data) [hrs],Charging Power [kW],Discharging Power [kW],Charge (at end of timestep) [kWh],State of Health (at end of timestep) [ ],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,0,122.305,364.106,0.99999,738703,1.22305,
1,0,192.695,150,0.999979,0,1.92695,
2,0,0,149.688,0.999977,0,0,
3,0,0,149.376,0.999975,0,0,
4,0,0,149.064,0.999972,0,0,
5,1.42109e-14,0,149.064,0.99997,0,1.42109e-16,
6,60,0,203.064,0.999965,0,0.6,
7,438.658,0,597.856,0.999928,0,4.38658,
8,0,36.3639,557.452,0.999921,0,0.363639,
9,0,37.8788,515.364,0.999915,0,0.378788,
10,0,37.2216,474.007,0.999909,0,0.372216,
11,0,39.5094,430.108,0.999903,0,0.395094,
12,0,40.2325,385.405,0.999898,0,0.402325,
13,0,38.6908,342.415,0.999893,0,0.386908,
14,0,38.0709,300.114,0.999888,0,0.380709,
15,0,37.2062,258.774,0.999883,0,0.372062,
16,0,37.2329,217.404,0.999879,0,0.372329,
17,0,39.1841,173.866,0.999875,0,0.391841,
18,0,21.4796,150,0.999871,0,0.214796,
19,500,0,600,0.99983,0,5,
20,0,215.761,360.265,0.999815,0,2.15761,
21,0,189.239,150,0.999804,0,1.89239,
22,0,0,149.688,0.999802,0,0,
23,0,0,149.376,0.9998,0,0,
24,0,0,149.064,0.999797,0,0,
25,0,0,148.754,0.999795,0,0,
26,0,0,148.444,0.999792,0,0,
27,0,0,148.135,0.99979,0,0,
28,0,0,147.826,0.999787,0,0,
29,0.0846279,0,147.902,0.999785,0,0.000846279,
30,173.959,0,304.465,0.999773,0,1.73959,
31,500,0,754.465,0.999721,0,5,
32,0,40.4673,709.501,0.999712,0,0.404673,
33,0,48.6297,655.468,0.999704,0,0.486297,
34,0,48.0226,602.11,0.999696,0,0.480226,
35,0,45.7319,551.297,0.999689,0,0.457319,
36,0,41.8177,504.833,0.999682,0,0.418177,
37,0,41.4399,458.788,0.999676,0,0.414399,
38,0,40.9678,413.269,0.999671,0,0.409678,
39,0,40.4769,368.294,0.999665,0,0.404769,
40,0,40.17,323.661,0.99966,0,0.4017,
41,0,40.2443,278.945,0.999655,0,0.402443,
42,0,39.8138,234.707,0.999651,0,0.398138,
43,0,39.601,190.706,0.999647,0,0.39601,
44,0,36.6356,150,0.999643,0,0.366356,
45,7.10543e-15,0,150,0.99964,0,7.10543e-17,
46,3.55271e-15,0,150,0.999638,0,3.55271e-17,
47,7.10543e-15,0,150,0.999635,0,7.10543e-17,
48,0,0,149.688,0.999633,0,0,
49,0,0,149.376,0.99963,0,0,
50,3.55271e-15,0,149.376,0.999628,0,3.55271e-17,
51,0,0,149.064,0.999626,0,0,
52,0,0,148.754,0.999623,0,0,
53,60,0,202.754,0.999618,0,0.6,
54,49.9912,0,247.746,0.999613,0,0.499912,
55,335.901,0,550.056,0.999585,0,3.35901,
56,0,41.3059,504.161,0.999579,0,0.413059,
57,0,44.7104,454.483,0.999573,0,0.447104,
58,0,45.0237,404.456,0.999567,0,0.450237,
59,0,84.5187,310.547,0.99956,0,0.845187,
60,0,43.2571,262.483,0.999555,0,0.432571,
61,0,41.672,216.181,0.99955,0,0.41672,
62,0,37.7764,174.207,0.999546,0,0.377764,
63,0,21.7866,150,0.999543,0,0.217866,
64,5.32907e-15,0,150,0.99954,0,5.32907e-17,
65,1.42109e-14,0,150,0.999538,0,1.42109e-16,
66,0,0,149.688,0.999536,0,0,
67,1.06581e-14,0,149.688,0.999533,0,1.06581e-16,
68,20.7699,0,168.38,0.99953,0,0.207699,
69,423.699,0,549.709,0.999496,0,4.23699,
70,0,37.5127,508.029,0.99949,0,0.375127,
71,0,35.8867,468.155,0.999484,0,0.358867,
72,0,34.9714,429.297,0.999479,0,0.349714,
73,0,34.3112,391.174,0.999474,0,0.343112,
74,0,33.7762,353.645,0.999469,0,0.337762,
75,0,34.3724,315.453,0.999464,0,0.343724,
76,0,34.3764,277.257,0.99946,0,0.343764,
77,0,34.1521,239.31,0.999455,0,0.341521,
78,0,40.8941,193.872,0.999451,0,0.408941,
79,0,39.4851,150,0.999447,0,0.394851,
80,500,0,600,0.999405,0,5,
81,0,41.4531,553.941,0.999398,0,0.414531,
82,0,40.4724,508.972,0.999392,0,0.404724,
83,0,39.8261,464.72,0.999386,0,0.398261,
84,0,40.2994,419.943,0.99938,0,0.402994,
85,0,38.22,377.477,0.999375,0,0.3822,
86,0,35.6626,337.851,0.99937,0,0.356626,
87,0,34.8287,299.153,0.999365,0,0.348287,
88,0,36.1015,259.04,0.999361,0,0.361015,
89,0,39.3107,215.362,0.999357,0,0.393107,
90,0,41.1434,169.647,0.999352,0,0.411434,
91,0,17.682,150,0.999349,0,0.17682,
92,60,0,204,0.999344,0,0.6,
93,0,0,203.575,0.999341,0,0,
94,0,0,203.151,0.999339,0,0,
95,41.1129,0,240.153,0.999334,0,0.411129,
96,0,0,239.652,0.999331,0,0,
97,0,0,239.153,0.999329,0,0,
98,0,0,238.655,0.999326,0,0,
99,0,0,238.157,0.999323,0,0,
100,0,0,237.661,0.999321,0,0,
101,1.27064,0,238.805,0.999318,0,0.0127064,
102,60,0,292.805,0.999312,0,0.6,
103,102.85,0,385.37,0.999303,0,1.0285,
104,137.345,0,508.981,0.99929,0,1.37345,
105,0,43.0134,461.188,0.999284,0,0.430134,
106,0,41.8878,414.646,0.999279,0,0.418878,
107,0,42.0561,367.917,0.999273,0,0.420561,
108,0,40.9171,322.454,0.999268,0,0.409171,
109,0,37.1175,281.212,0.999263,0,0.371175,
110,0,37.1652,239.918,0.999259,0,0.371652,
111,0,37.8791,197.83,0.999255,0,0.378791,
112,0,38.3888,155.176,0.999251,0,0.383888,
113,0,4.65799,150,0.999248,0,0.0465799,
114,500,0,600,0.999206,0,5,
115,0,39.5738,556.029,0.9992,0,0.395738,
116,0,55.9944,493.813,0.999192,0,0.559944,
117,0,244.068,222.626,0.999178,0,2.44068,
118,0,65.3632,150,0.999173,0,0.653632,
