Time (since start of data) [hrs],Fuel Cell Production [kW],Electrolyzer Consumption [kW],Stored Hydrogen [kg],External Hydrogen Load [kg],Curtiailed Hydrogen Potential [kg],Compression Power [kW],Compression Thermal Output [kW],Water Demand [kg],Electrolyzer H2 Production [kg],Charge (at end of timestep) [kWh],Fuel Cell Consumption [kg],Electrolyzer State of Health (at end of timestep) [ ],Fuel Cell State of Health (at end of timestep) [ ],Electrolyzer Operational Efficiency [ ],Fuel Cell State Operational Efficiency [ ],Capital Cost (actual),Operation and Maintenance Cost (actual),
0,0,46.7479,500.845,0,0,12.5,0,14.5324,0.844904,16678.1,0,0.999961,1,0.554978,0,2.85e+06,3.6,
1,70.1729,0,497.191,0,0,0,0,0,0,16556.5,3.65412,0.999961,0.999943,0,0.54597,0,4.21038,
2,150,0,488.94,0,0,0,0,0,0,16281.7,8.25047,0.999961,0.999936,0,0.545966,0,9,
3,150,0,480.69,0,0,0,0,0,0,16007,8.25053,0.999961,0.999927,0,0.545961,0,9,
4,150,0,472.439,0,0,0,0,0,0,15732.2,8.2506,0.999961,0.999917,0,0.545955,0,9,
5,150,0,464.189,0,0,0,0,0,0,15457.5,8.25068,0.999961,0.999908,0,0.54595,0,9,
6,40.5484,0,462.121,0,0,0,0,0,0,15388.6,2.06762,0.999961,0.999896,0,0.545944,0,2.4329,
7,0,0,462.121,0,0,0,0,0,0,15388.6,0,0.999961,0.999896,0,0,0,0,
8,0,270,466.666,0,0,12.4995,0,78.1709,4.54482,15540,0,0.999934,0.999896,0.554963,0,0,18.75,
9,0,297,471.62,0,0,12.4992,0,85.2195,4.95462,15705,0,0.999925,0.999896,0.554959,0,0,18.75,
10,0,299.7,476.615,0,0,12.4991,0,85.9162,4.99513,15871.3,0,0.999916,0.999896,0.554954,0,0,18.7499,
11,0,299.97,481.615,0,0,12.499,0,85.9851,4.99913,16037.8,0,0.999907,0.999896,0.554948,0,0,18.7499,
12,0,299.997,486.614,0,0,12.4988,0,85.9912,4.99949,16204.2,0,0.999897,0.999896,0.554943,0,0,18.7499,
13,0,300,491.614,0,0,12.4987,0,85.9911,4.99948,16370.7,0,0.999887,0.999896,0.554937,0,0,18.7499,
14,0,300,496.613,0,0,12.4986,0,85.9903,4.99944,16537.2,0,0.999877,0.999896,0.554932,0,0,18.7499,
15,0,300,501.612,0,0,12.4985,0,85.9895,4.99939,16703.7,0,0.999868,0.999896,0.554926,0,0,18.7499,
16,0,300,506.612,0,0,12.4983,0,85.9886,4.99934,16870.2,0,0.999858,0.999896,0.554921,0,0,18.7499,
17,0,300,511.611,0,0,12.4982,0,85.9878,4.99929,17036.6,0,0.999848,0.999896,0.554916,0,0,18.7499,
18,0,300,516.61,0,0,12.4981,0,85.9869,4.99924,17203.1,0,0.999838,0.999896,0.55491,0,0,18.7499,
19,38.3369,0,514.658,0,0,0,0,0,0,17138.1,1.95177,0.999838,0.999865,0,0.545927,0,2.30022,
20,0,46.7499,515.503,0,0,12.498,0,14.5306,0.844802,17166.3,0,0.999807,0.999865,0.554893,0,0,3.6,
21,60.9576,0,512.349,0,0,0,0,0,0,17061.2,3.15407,0.999807,0.999834,0,0.54591,0,3.65746,
22,150,0,504.098,0,0,0,0,0,0,16786.5,8.25137,0.999807,0.999824,0,0.545905,0,9,
23,150,0,495.846,0,0,0,0,0,0,16511.7,8.25145,0.999807,0.999815,0,0.545899,0,9,
24,150,0,487.595,0,0,0,0,0,0,16236.9,8.25153,0.999807,0.999805,0,0.545894,0,9,
25,150,0,479.343,0,0,0,0,0,0,15962.1,8.25161,0.999807,0.999795,0,0.545889,0,9,
26,150,0,471.092,0,0,0,0,0,0,15687.3,8.25169,0.999807,0.999785,0,0.545883,0,9,
27,150,0,462.84,0,0,0,0,0,0,15412.6,8.25177,0.999807,0.999775,0,0.545878,0,9,
28,150,0,454.588,0,0,0,0,0,0,15137.8,8.25185,0.999807,0.999765,0,0.545873,0,9,
29,150,0,446.336,0,0,0,0,0,0,14863,8.25193,0.999807,0.999756,0,0.545867,0,9,
30,0,0,446.336,0,0,0,0,0,0,14863,0,0.999807,0.999756,0,0,0,0,
31,0,270,450.88,0,0,12.4976,0,78.1589,4.54412,15014.3,0,0.999776,0.999756,0.554876,0,0,18.7499,
32,0,297,455.834,0,0,12.4972,0,85.206,4.95384,15179.3,0,0.999766,0.999756,0.55487,0,0,18.7498,
33,0,299.7,460.828,0,0,12.4971,0,85.9025,4.99433,15345.6,0,0.999756,0.999756,0.554865,0,0,18.7498,
34,0,299.97,465.827,0,0,12.497,0,85.9713,4.99833,15512,0,0.999746,0.999756,0.554859,0,0,18.7498,
35,0,299.997,470.825,0,0,12.4968,0,85.9774,4.99869,15678.5,0,0.999736,0.999756,0.554854,0,0,18.7498,
36,0,300,475.824,0,0,12.4967,0,85.9772,4.99868,15844.9,0,0.999726,0.999756,0.554848,0,0,18.7498,
37,0,300,480.823,0,0,12.4966,0,85.9765,4.99863,16011.4,0,0.999716,0.999756,0.554843,0,0,18.7498,
38,0,300,485.821,0,0,12.4965,0,85.9756,4.99858,16177.8,0,0.999706,0.999756,0.554837,0,0,18.7498,
39,0,300,490.82,0,0,12.4963,0,85.9747,4.99853,16344.3,0,0.999696,0.999756,0.554832,0,0,18.7498,
40,0,300,495.818,0,0,12.4962,0,85.9739,4.99848,16510.7,0,0.999686,0.999756,0.554826,0,0,18.7498,
41,0,300,500.817,0,0,12.4961,0,85.973,4.99843,16677.2,0,0.999676,0.999756,0.55482,0,0,18.7498,
42,0,300,505.815,0,0,12.496,0,85.9722,4.99838,16843.6,0,0.999666,0.999756,0.554815,0,0,18.7498,
43,0,300,510.813,0,0,12.4958,0,85.9713,4.99833,17010.1,0,0.999656,0.999756,0.554809,0,0,18.7497,
44,0,300,515.812,0,0,12.4957,0,85.9705,4.99828,17176.5,0,0.999646,0.999756,0.554804,0,0,18.7497,
45,150,0,507.56,0,0,0,0,0,0,16901.7,8.25202,0.999646,0.999725,0,0.54585,0,9,
46,150,0,499.307,0,0,0,0,0,0,16626.9,8.25227,0.999646,0.999715,0,0.545845,0,9,
47,150,0,491.055,0,0,0,0,0,0,16352.1,8.25235,0.999646,0.999705,0,0.54584,0,9,
48,150,0,482.803,0,0,0,0,0,0,16077.3,8.25243,0.999646,0.999695,0,0.545834,0,9,
49,150,0,474.55,0,0,0,0,0,0,15802.5,8.25251,0.999646,0.999685,0,0.545829,0,9,
50,150,0,466.297,0,0,0,0,0,0,15527.7,8.2526,0.999646,0.999675,0,0.545823,0,9,
51,150,0,458.045,0,0,0,0,0,0,15252.9,8.25268,0.999646,0.999665,0,0.545818,0,9,
52,150,0,449.792,0,0,0,0,0,0,14978.1,8.25276,0.999646,0.999655,0,0.545812,0,9,
53,114.019,0,443.669,0,0,0,0,0,0,14774.2,6.12274,0.999646,0.999645,0,0.545807,0,6.84115,
54,150,0,435.416,0,0,0,0,0,0,14499.4,8.25293,0.999646,0.999635,0,0.545802,0,9,
55,37.8666,0,433.489,0,0,0,0,0,0,14435.2,1.92768,0.999646,0.999625,0,0.545796,0,2.272,
56,0,270,438.032,0,0,12.4956,0,78.1464,4.54339,14586.5,0,0.999616,0.999625,0.554787,0,0,18.7497,
57,0,221.881,441.825,0,0,12.4952,0,65.2371,3.79285,14712.8,0,0.999606,0.999625,0.554781,0,0,14.0626,
58,0,109.794,443.77,0,0,12.4951,0,33.4565,1.94515,14777.5,0,0.999596,0.999625,0.554776,0,0,7.33733,
